len(selected_patterns):93; curr precision: 0.9479; curr recall: 0.0394; curr f1: 0.0756; curr tp: 6073; curr fp: 334; curr fn: 148092; curr tn: 1353025; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _ATOKEN_karaoke; pattern type: l0
len(selected_patterns):94; curr precision: 0.9481; curr recall: 0.0396; curr f1: 0.076; curr tp: 6106; curr fp: 334; curr fn: 148059; curr tn: 1353025; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _ATOKEN_collard; pattern type: l0
len(selected_patterns):95; curr precision: 0.9481; curr recall: 0.0398; curr f1: 0.0764; curr tp: 6139; curr fp: 336; curr fn: 148026; curr tn: 1353023; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _ATOKEN_pea; pattern type: l0
len(selected_patterns):96; curr precision: 0.9481; curr recall: 0.04; curr f1: 0.0768; curr tp: 6171; curr fp: 338; curr fn: 147994; curr tn: 1353021; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _ATOKEN_charcuterie; pattern type: l0
len(selected_patterns):97; curr precision: 0.9475; curr recall: 0.0402; curr f1: 0.0772; curr tp: 6203; curr fp: 344; curr fn: 147962; curr tn: 1353015; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _ATOKEN_seaweed; pattern type: l0
len(selected_patterns):98; curr precision: 0.9476; curr recall: 0.0404; curr f1: 0.0776; curr tp: 6234; curr fp: 345; curr fn: 147931; curr tn: 1353014; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _ATOKEN_brussel; pattern type: l0
len(selected_patterns):99; curr precision: 0.9475; curr recall: 0.0406; curr f1: 0.0779; curr tp: 6265; curr fp: 347; curr fn: 147900; curr tn: 1353012; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _ATOKEN_mimosas; pattern type: l0
len(selected_patterns):100; curr precision: 0.9468; curr recall: 0.0408; curr f1: 0.0783; curr tp: 6295; curr fp: 354; curr fn: 147870; curr tn: 1353005; precision of pattern: 1.0; tp, abs. recall of pattern: 30; pattern: _ATOKEN_stir; pattern type: l0
len(selected_patterns):101; curr precision: 0.9466; curr recall: 0.041; curr f1: 0.0786; curr tp: 6325; curr fp: 357; curr fn: 147840; curr tn: 1353002; precision of pattern: 1.0; tp, abs. recall of pattern: 30; pattern: _ATOKEN_nigiri; pattern type: l0
len(selected_patterns):102; curr precision: 0.9467; curr recall: 0.0412; curr f1: 0.079; curr tp: 6355; curr fp: 358; curr fn: 147810; curr tn: 1353001; precision of pattern: 1.0; tp, abs. recall of pattern: 30; pattern: _ATOKEN_rangoon; pattern type: l0
len(selected_patterns):103; curr precision: 0.9468; curr recall: 0.0414; curr f1: 0.0793; curr tp: 6384; curr fp: 359; curr fn: 147781; curr tn: 1353000; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_mousse; pattern type: l0
len(selected_patterns):104; curr precision: 0.947; curr recall: 0.0416; curr f1: 0.0797; curr tp: 6413; curr fp: 359; curr fn: 147752; curr tn: 1353000; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_mein; pattern type: l0
len(selected_patterns):105; curr precision: 0.9451; curr recall: 0.0418; curr f1: 0.08; curr tp: 6442; curr fp: 374; curr fn: 147723; curr tn: 1352985; precision of pattern: 1.0; tp, abs. recall of pattern: 29; pattern: _ATOKEN_lights; pattern type: l0
len(selected_patterns):106; curr precision: 0.9451; curr recall: 0.042; curr f1: 0.0804; curr tp: 6470; curr fp: 376; curr fn: 147695; curr tn: 1352983; precision of pattern: 1.0; tp, abs. recall of pattern: 28; pattern: _ATOKEN_hazelnut; pattern type: l0
