len(selected_patterns):87; curr precision: 0.9615; curr recall: 0.0396; curr f1: 0.0761; curr tp: 6165; curr fp: 247; curr fn: 149469; curr tn: 1516448; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_adware; pattern type: l0
len(selected_patterns):88; curr precision: 0.9616; curr recall: 0.0397; curr f1: 0.0763; curr tp: 6186; curr fp: 247; curr fn: 149448; curr tn: 1516448; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_cd-rom; pattern type: l0
len(selected_patterns):89; curr precision: 0.9611; curr recall: 0.0399; curr f1: 0.0766; curr tp: 6207; curr fp: 251; curr fn: 149427; curr tn: 1516444; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_win7; pattern type: l0
len(selected_patterns):90; curr precision: 0.9611; curr recall: 0.04; curr f1: 0.0768; curr tp: 6228; curr fp: 252; curr fn: 149406; curr tn: 1516443; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_sim; pattern type: l0
len(selected_patterns):91; curr precision: 0.9611; curr recall: 0.0402; curr f1: 0.0771; curr tp: 6249; curr fp: 253; curr fn: 149385; curr tn: 1516442; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_ui; pattern type: l0
len(selected_patterns):92; curr precision: 0.9609; curr recall: 0.0403; curr f1: 0.0773; curr tp: 6270; curr fp: 255; curr fn: 149364; curr tn: 1516440; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_protector; pattern type: l0
len(selected_patterns):93; curr precision: 0.96; curr recall: 0.0404; curr f1: 0.0776; curr tp: 6291; curr fp: 262; curr fn: 149343; curr tn: 1516433; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_turion; pattern type: l0
len(selected_patterns):94; curr precision: 0.9599; curr recall: 0.0406; curr f1: 0.0778; curr tp: 6312; curr fp: 264; curr fn: 149322; curr tn: 1516431; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_recognition; pattern type: l0
len(selected_patterns):95; curr precision: 0.9594; curr recall: 0.0407; curr f1: 0.0781; curr tp: 6333; curr fp: 268; curr fn: 149301; curr tn: 1516427; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _ATOKEN_spotify; pattern type: l0
len(selected_patterns):96; curr precision: 0.9591; curr recall: 0.0408; curr f1: 0.0783; curr tp: 6353; curr fp: 271; curr fn: 149281; curr tn: 1516424; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_sensor; pattern type: l0
len(selected_patterns):97; curr precision: 0.9588; curr recall: 0.0409; curr f1: 0.0785; curr tp: 6373; curr fp: 274; curr fn: 149261; curr tn: 1516421; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_editor; pattern type: l0
len(selected_patterns):98; curr precision: 0.9575; curr recall: 0.0411; curr f1: 0.0788; curr tp: 6393; curr fp: 284; curr fn: 149241; curr tn: 1516411; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_set-up; pattern type: l0
len(selected_patterns):99; curr precision: 0.9574; curr recall: 0.0412; curr f1: 0.079; curr tp: 6413; curr fp: 285; curr fn: 149221; curr tn: 1516410; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_pcmcia; pattern type: l0
len(selected_patterns):100; curr precision: 0.956; curr recall: 0.0413; curr f1: 0.0792; curr tp: 6433; curr fp: 296; curr fn: 149201; curr tn: 1516399; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_2003; pattern type: l0
len(selected_patterns):101; curr precision: 0.956; curr recall: 0.0415; curr f1: 0.0795; curr tp: 6453; curr fp: 297; curr fn: 149181; curr tn: 1516398; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_multi-touch; pattern type: l0
len(selected_patterns):102; curr precision: 0.9557; curr recall: 0.0416; curr f1: 0.0797; curr tp: 6473; curr fp: 300; curr fn: 149161; curr tn: 1516395; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _ATOKEN_neoprene; pattern type: l0
len(selected_patterns):103; curr precision: 0.9558; curr recall: 0.0417; curr f1: 0.0799; curr tp: 6492; curr fp: 300; curr fn: 149142; curr tn: 1516395; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: _ATOKEN_touchpads; pattern type: l0
len(selected_patterns):104; curr precision: 0.9555; curr recall: 0.0418; curr f1: 0.0802; curr tp: 6511; curr fp: 303; curr fn: 149123; curr tn: 1516392; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: _ATOKEN_gps; pattern type: l0
len(selected_patterns):105; curr precision: 0.9552; curr recall: 0.042; curr f1: 0.0804; curr tp: 6530; curr fp: 306; curr fn: 149104; curr tn: 1516389; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: _ATOKEN_back-lit; pattern type: l0
len(selected_patterns):106; curr precision: 0.9554; curr recall: 0.0421; curr f1: 0.0806; curr tp: 6549; curr fp: 306; curr fn: 149085; curr tn: 1516389; precision of pattern: 1.0; tp, abs. recall of pattern: 19; pattern: _ATOKEN_iweb; pattern type: l0
